№	приоритет	основание приоритета	функция	какая боль	как работает сейчас	как будет работать с ИИ	Комментарий
11	P1	Много провайдеров TTS	Голосовой ответ (TTS)	«Хочу слушать ответы»	Полностью (демо). POST /api/tts/speak; Edge TTS по умолчанию без ключей (ru-RU-DmitryNeural); Qwen при наличии QWEN_TTS_API_KEY. useAssistantSpeech.ts: lip-sync через playback.ts + GlbCharacter3D; emotion/tone из response_tone → character_emotion; fallback Edge → browser SpeechSynthesis.	Эмоциональная просодия в аудио, streaming TTS.	Просодия — только 3D-жесты, не в голосе.
12	P1	Контекстные chips	Быстрые подсказки / quick replies (chips)	«Не знаю, что спросить»	Полностью. suggested_chips.py + enrich_response на каждый ответ чата/OCR; assistantQuickChips.ts по странице; hideSuggestions скрывает chips при активном диалоге без динамических подсказок; pending_form_fields → chips полей.	Chips от LLM по контексту ошибок формы.	Динамика rule-based, не LLM-generated.
13	P1	UI компонент готов	Источники / source chips	«Откуда цифра — хочу проверить»	Полностью (демо). Реальные ID в search.py; session_sources.py для «Источник №N»; SourceChips → navigate с ?hl=amount,counterparty,purpose; CapturedSbbolPage подсвечивает поля формы.	Подсветка в выписке/PDF.	Реестр сессии in-memory; сброс при рестарте сервера.
14	P1	Эмулятор + API + чат	Коннектор 1С	«Документы в 1С — как провести в банке»	Полностью (демо). /services/onec + OneCImportView: статус, sync, preview, batch import. API /api/onec/*. Чат: синхронизация, импорт → BankDocument «На подписи». Rich seed (seed_onec.py).	Реальный OData 1С.	PostgreSQL-эмулятор, не боевой 1С.
15	P1	API + UI кнопка 📷	Скан счёта / OCR заполнение формы	«Есть фото счёта — заполнить форму»	Полностью (демо). POST /api/forms/ocr-fill: ImageToText при ключах, demo_fallback без ключей; PDF в UI и API; highlightOcrFields после fill; «Исправь поле X» в чате (_rule_based_form_fill); enrich_response для chips/tone.	Локальная OCR-модель.	Качество demo OCR ограничено.
16	P2	Rule-based + каталог БД	Банковские консультации (сервисы, эквайринг)	«Какой тариф / как подключить»	Полностью (демо). compare_tariffs(); ROI-калькулятор (maybe_roi_reply); ServiceApplicationModal из чата (connect_service → ui_actions). GET /api/banking/services.	Реальная заявка в банк.	Заявка — демо-модалка, не CRM.
17	P2	Цепочка в assistant.py	Налоговые подсказки (ФСЗН, НДС, отчётность)	«Как платить налоги / ФСЗН»	Полностью (демо). TaxDeadline в БД; get_tax_calendar() по org_type/роли; чат «налоговый календарь», «рассчитай ФСЗН» (demo_fszh_amount ~34%). Кнопки → /salary/obligations.	Черновики платежей в Минфин.	База ФОТ 5000 BYN — демо.
18	P2	ChartSpec в ответах	Аналитика и графики в чате	«Структура расходов / сравнение месяцев»	Полностью (демо). analytics.py; NL-триггеры + «риски/аномалии» с severity critical/warn; cash_gap_forecast; AssistantChart.tsx. API /api/banking/analytics/*.	Live-данные банка, push-алерты.	Seed AnalyticsMonthly.
19	P2	Валидаторы при fill	Подсказки при заполнении платежа (УНП, IBAN, лимит)	«Боюсь ошибиться в реквизитах»	Полностью (демо). Inline red/yellow/green (useSbbolPaymentValidation.ts); блок submit без confirm при critical; «Проверки» в ответе чата.	Автоисправление ошибок.	Только captured-формы SBBOL.
20	P2	PostgreSQL + enrich	Справочник контрагентов	«Знаю имя — нужны УНП и счёт»	Полностью (демо). «Добавь контрагента X» в queries.py с dedup ilike; автоподстановка при fill; GET /api/banking/counterparties.	Извлечение из договора/OCR.	Новые без УНП до ручного ввода.
21	P2	LLM tool + ProductService	Подбор банковских продуктов (кредит, депозит)	«Нужен кредит до X%»	Полностью (демо). match_score из оборотов StatementLine; ProductCard в чате; credit/deposit intents. GET /api/products.	ML-персонализация.	Rule-based scoring.
22	P2	UiBridge + PAGE_REGISTRY	Клики по кнопкам интерфейса из чата	«Скажи — пусть сам нажмёт»	Частично. uiBridge + AssistantUiBridge: navigate, modals (документ, заявка сервиса, 1С); page_actions.py 30+ маршрутов. Captured SBBOL вторичные кнопки — stub toast.	LLM + DOM vision.	Много data-assistant-action не на HTML-snapshot.
23	P2	3D сцена в чате	3D-консультант (персонаж)	«Живой интерфейс вместо текста»	Полностью (демо). Lip-sync (morph/vertex); emotion из TTS tone (smile/concern/explain); жесты в GlbCharacter3D по emotion; CharacterSettings persist.	Полная библиотека жестов, streaming avatar.	Тяжёлая GLB; compact на мобиле.
24	P2	Захваченный HTML SBBOL	Демо интернет-банк (оболочка SBBOL)	«Нужен узнаваемый UI банка»	Частично. CapturedSbbolPage: submit → POST /api/banking/documents + submit-gateway; account picker из API; валидация полей. Остальные кнопки — stub.	Живой API SBBOL.	Визуально близко к prod, глубина — демо.
25	P2	CRUD в banking API	Операции: документы, подпись, сотрудники, счета	«Создать платёжку / подписать / зарплату»	Полностью (демо). Чат fill → form_actions → DOM; «Подписать и отправить в шлюз» → sign_latest_and_submit; gateway_sim. PaymentsView/PayrollView CRUD.	ЭЦП, live gateway.	Без криптографии.
26	P3	Auth JWT	Мультиорганизация и вход	«Разные компании в одном демо»	Полностью. POST /api/auth/login; JWT; tenant org_id на всех banking routes. Guest chat с org_id. Site basic auth на API.	SSO корпоративный, RBAC по сотрудникам.	3 демо-аккаунта; данные изолированы по org.
27	P3	useIsMobile	Мобильная версия ассистента	«Работа с телефона»	Полностью (демо). AssistantFloatingChat fullscreen; PWA manifest.json + service worker (sw.js); 640px breakpoint; голос/камера на формах.	Install prompt, offline-first.	Иконки favicon-only; кэш базовый.
28	P3	Endpoint есть	Стриминг ответа (SSE)	«Ответ появляется по словам»	Полностью (демо). /api/chat/stream + /guest/stream; streamChatMessage в AssistantPanel (useStreaming default); псевдо-стрим по словам.	Token-level LLM stream.	Не настоящий token stream.
29	P3	TODO в коде	История диалога	«Вернуться к вчерашнему разговору»	Полностью (демо). ChatSession/Message в PostgreSQL; history.py; сохранение в chat.py; восстановление fetchChatHistory в AssistantPanel.	Поиск по истории, шаринг сессии.	Метаданные charts/products при restore частичны.
30	P3	Intent insurance	Страхование (уточнение продукта)	«Нужна страховка бизнеса»	Полностью (демо). Clarify-кнопки → insurance/recommendations.py; InsuranceProduct в seed; «Оформить заявку» в ответе.	Оформление полиса online.	Без выпуска полиса.
31	P3	Проверка контрагента intent	Проверка контрагента / due diligence	«Благонадёжен ли поставщик»	Полностью (демо). counterparty_risk.py; чат «проверь контрагента X»; CounterpartyRiskView на /services/counterparty; risk_score в seed.	Интеграция с реестрами РБ.	Демо-скоринг, не внешний API.
32	P3	—	Реальная интеграция SBBOL / платёжный шлюз	«Провести платёж в боевом банке»	Частично (симуляция). gateway_sim.py: pending→processing→executed; GatewayStatusBanner; submit-gateway на captured submit. Нет OAuth/live SBBOL.	API SBBOL OAuth, live статусы.	By design для MVP-демо.
