№	P	Функция	Боль	Триггер (пример)	Шаг 1	Шаг 2	Шаг 3	Шаг 4	Шаг 5	Канал	Результат в UI	Chips / кнопки	Источник данных	Движок	Статус	Gap
11	1	Quick-replies	Не знаю что спросить	Открытие чата / после ответа	Статические chips по странице	Динамические suggested_chips	Скрытие при диалоге	Клик → сообщение	—	Чат	Быстрый ввод	Проверить остаток…	assistantQuickChips	Rules	Готово	Не LLM-generated
12	1	Chips после поиска	Текст без действий	После «найди…»	Ответ со списком	Источник 1..N	Открыть документ	Саммари в карточке	—	Чат	Карточка документа	Открыть; PDF (stub)	session_sources	Rules	Готово	Нет PDF
13	1	Источники данных	Нет прозрачности	Клик «Источник №2»	Реестр сессии	Navigate + highlight	Поля подсвечены	«Покажи источник №N» в чате	—	Чат	?highlight=uuid→view	Источник N	PostgreSQL	Rules	Готово	Нужен деплой на Vercel
14	1	Коннектор 1С	Ручной перенос	«Синхронизировать с 1С»	Статус коннектора	Список к оплате	Preview	Импорт → BankDocument	Пакетный импорт	Чат+/services/onec	Документ на подписи	Импортировать	PostgreSQL onec	Rules	Частично	Не реальный 1С OData
15	1	Скан счёта → форма	Ручной ввод	📷 на форме платежа	OCR / demo fallback	Парсинг полей	Заполнение формы	Подсветка OCR	Исправь поле X	Чат+форма	Предзаполненная форма	Подтвердить	OCR API+rules	Rules	Частично	Качество OCR
16	2	Консультации сервисов	Где подключить	«Как подключить эквайринг?»	Поиск BankService	Тарифы+сравнение	ROI калькулятор	Модалка заявки	—	Чат	Описание+кнопки	Подключить; Тарифы	PostgreSQL services	Rules	Готово	Не реальная заявка
17	2	Налоговые подсказки	Не знаю сроки	«Налоговый календарь»	Профиль org (ИП/ЮЛ)	Список TaxDeadline	Расчёт ФСЗН demo	Кнопка в обязательства	—	Чат	Календарь+суммы	Обязательства; ФСЗН	seed_features	Rules	Частично	Не nalog.gov.by live
18	2	Аналитика в чате	Нет картины	«Расходы за март» / «сравни февраль и март»	Парсинг периода	Запрос AnalyticsMonthly	График в чате	Кассовый разрыв+алерт	—	Чат	AssistantChart	Сравнить; ТОП	PostgreSQL analytics	Rules	Готово	Seed, не live банк
19	2	Прогноз кассового разрыва	Внезапный минус	«Кассовый разрыв» / «риски»	Остаток+исходящие	Прогноз 7-14 дн.	График line	Текст объяснения	—	Чат	Chart+предупреждение	Выписка	StatementLine+analytics	Rules	Частично	Нет проактивного push
20	2	Итоги месяца	Нет сводки	«Итоги месяца» (план)	Уведомление 1-го числа	Краткая сводка	Подробно / PDF	—	—	Уведомление+чат	Сводка	Кратко; PDF	AnalyticsMonthly	—	Нет	Не реализовано
21	1	Повтор/создание платежа	Долго оформлять	«Повтори последний платёж»	Последний BankDocument	Кнопка повторить	Форма или API	Подпись+шлюз	—	Чат	Новый документ	Повторить	PostgreSQL	Rules	Частично	Не полный SBBOL flow
22	2	Связаться со специалистом	Потеря контекста	3 неудачных ответа / «не понимаю»	Кнопка оператора	Резюме диалога (план)	Передача оператору	—	—	Моб. (план)	Чат с банком	—	История чата	—	Нет	P3 в бэклоге
23	2	Обучающий режим	Не знаю как	«Объясни как сделать X»	Тултип первого раза	Шаг 1 из N	Далее/Пропустить	Резюме	—	Чат+UI	Пошаговый гид	Далее	—	—	Нет	В бэклоге
24	1	Стриминг ответа	Хочу «живой» текст	SSE в чате	Запрос к API stream	Псевдо-поток по словам	Обновление bubble	—	—	Чат	Печать ответа	—	chat/stream	Rules	Частично	Не token LLM
25	1	История диалога	Потеря контекста	Перезагрузка страницы	Сохранение Message	GET /history	Восстановление в UI	—	—	Чат	Прошлые сообщения	—	PostgreSQL messages	Rules	Готово	Нет поиска по истории
26	1	Персонализация	Нет контакта	Первый вход	Приветствие по org/роли	Welcome chips по роли	3D эмоция+имя org	—	—	Чат	Персональное приветствие	По роли	OrganizationProfile	Rules	Частично	Нет имени пользователя
27	1	3D-консультант	Сухой интерфейс	Любой ответ	Эмоция по tone	TTS lip-sync	Настройки персонажа	—	—	Чат	Аватар говорит	—	localStorage+TTS	Rules	Частично	Тяжёлая 3D
28	2	Запоминание паттернов	Рутина	Повтор A→B→C 3+ раза	Лог действий (план)	Предложение автоматизации	Настройка триггера	Исполнение	—	Чат	«Моя автоматизация»	Автоматизировать	—	—	Нет	В бэклоге
29	2	Напоминания обязательных платежей	Забывают налоги/аренду	За 5/3/1 день (план)	Анализ истории	Категория платежа	Push/баннер/чат	Создать платёж	—	Баннер+push	Напоминание	Подготовить платёж	История+TaxDeadline	Rules	Частично	Есть баннер, нет push
30	1	Проверка контрагента	Риск поставщика	«Проверь контрагента Ромашка»	risk_score из БД	Отчёт в чате	UI /services/counterparty	—	—	Чат	Скоринг+пояснение	Открыть отчёт	Counterparty.risk_*	Rules	Готово	Не реестр МНС
31	1	Подбор продуктов	Нужен кредит	«Кредит до 5%»	Поиск Product	Match score по оборотам	ProductCard	Ссылка в раздел	—	Чат	Карточки продуктов	Все кредиты	PostgreSQL+LLM tool	Rules+LLM	Частично	LLM только при fallback
32	3	Live SBBOL	Боевой банк	—	—	—	—	—	—	—	—	—	—	—	Нет	By design демо
